Tittle ,Question ,Part 
Hometown,Where do you usually go when you want to relax in your hometown?,Part 1
Hometown,What do you like most about your hometown?,Part 1
Hometown,Has your hometown changed much in recent years?,Part 1
Hometown,Would you like to live in your hometown in the future?,Part 1
Work or Studies,What do you enjoy most about your work or studies?,Part 1
Work or Studies,Why did you choose your current field of study or job?,Part 1
Work or Studies,Do you prefer working alone or in a team?,Part 1
Work or Studies,What is the most challenging part of your studies or work?,Part 1
Daily Routine,How do you usually spend your mornings?,Part 1
Daily Routine,What is your favorite part of the day?,Part 1
Daily Routine,Do you prefer having a fixed routine or a flexible one?,Part 1
Daily Routine,Has your daily routine changed recently?,Part 1
Reading,Do you prefer reading e-books or printed books? Why?,Part 1
Reading,How often do you read for pleasure?,Part 1
Reading,What kind of books do you like reading?,Part 1
Reading,Do you think reading is important for learning?,Part 1
Music,What type of music do you usually listen to?,Part 1
Music,Do you like listening to music while studying or working?,Part 1
Music,Have your music preferences changed over time?,Part 1
Music,Do you prefer live concerts or listening to recorded music?,Part 1
Social Media,How often do you post on social media?,Part 1
Social Media,Do you think social media is a good way to stay in touch with friends?,Part 1
Social Media,What do you usually post on social media?,Part 1
Social Media,Have you ever taken a break from social media?,Part 1
Weather,What is your favorite season of the year? Why?,Part 1
Weather,Do you prefer hot weather or cold weather?,Part 1
Weather,How does the weather affect your mood?,Part 1
Weather,Have you ever experienced extreme weather conditions?,Part 1
Food,Do you like trying new kinds of food?,Part 1
Food,What is your favorite type of cuisine?,Part 1
Food,How often do you eat out at restaurants?,Part 1
Food,Do you prefer cooking at home or eating out?,Part 1
Sports,What sport do you enjoy watching or playing the most?,Part 1
Sports,Did you play any sports when you were a child?,Part 1
Sports,Do you prefer team sports or individual sports?,Part 1
Sports,How often do you exercise or play sports now?,Part 1
Technology,What technology do you use the most in your daily life?,Part 1
Technology,Do you prefer using a laptop or a smartphone?,Part 1
Technology,Has technology changed the way you communicate?,Part 1
Technology,What is a piece of technology you cannot live without?,Part 1
Travel,Do you prefer traveling alone or with friends?,Part 1
Travel,What is your favorite type of holiday?,Part 1
Travel,Do you like visiting new places or going back to familiar ones?,Part 1
Travel,What was your most memorable trip?,Part 1
Shopping,Do you enjoy shopping in malls or online?,Part 1
Shopping,What was the last thing you bought?,Part 1
Shopping,Do you prefer buying branded items or not?,Part 1
Shopping,Do you like shopping with friends or alone?,Part 1
Television & Streaming,Do you often watch TV series or movies?,Part 1
Television & Streaming,Do you prefer watching movies at home or in the cinema?,Part 1
Television & Streaming,What is your favorite TV show?,Part 1
Television & Streaming,Do you think people watch too much TV nowadays?,Part 1
Pets,Would you like to have a pet in the future?,Part 1
Pets,Did you have a pet when you were a child?,Part 1
Pets,What animals do you like the most?,Part 1
Pets,Do you think pets make people happier?,Part 1
Sleep,How many hours do you usually sleep every night?,Part 1
Sleep,Do you take naps during the day?,Part 1
Sleep,What do you do if you cannot fall asleep?,Part 1
