Tittle ,Question ,Cue Cards
Describe a situation,Describe a situation when you helped someone in need.,Who the person was; How you helped them; Why they needed help; How you felt about helping.
Describe a situation,Describe a situation when you were late for an important event.,What the event was; Why you were late; How others reacted; How you felt in that situation.
Describe a situation,Describe a situation when you worked in a team.,What the team was doing; What your role was; How you communicated; Whether you enjoyed it or not.
Describe a situation,Describe a situation when you solved a problem using your creativity.,What the problem was; How you solved it; Why you chose that solution; The outcome.
Describe a situation,Describe a situation when you had to make a difficult decision.,What the decision was; Why it was difficult; What choices you had; What you learned.
Describe a situation,Describe a situation when you met someone for the first time and became friends quickly.,Who the person was; Where you met; What you talked about; Why you became friends quickly.
Describe a situation,Describe a situation when you were surprised by good news.,What the news was; How you heard; How you reacted; Why it was surprising.
Describe a situation,Describe a situation when you had to wait for something for a long time.,What you were waiting for; How long you waited; Why you had to wait; How you felt.
Describe a situation,Describe a situation when you gave advice to someone.,Who the person was; What advice you gave; Why you gave it; Whether they followed your advice.
Describe a situation,Describe a situation when you were proud of yourself.,What happened; Why it made you proud; How others reacted; How that situation changed you.
Describe a person,Describe a person who has inspired you.,Who the person is; How you know them; What they have done; Why they inspired you.
Describe a person,Describe a person you admire the most.,Who the person is; How you know them; What makes them admirable; Why you admire them.
Describe a person,Describe a person you enjoy spending time with.,Who the person is; How you know them; What you do together; Why you enjoy their company.
Describe a person,Describe a person who is very good at their job.,Who the person is; What their job is; Why they are good at it; How you feel about them.
Describe a person,Describe a person who often helps others.,Who the person is; How they help others; Why they do it; How you feel about them.
Describe a person,Describe a person who you think is very creative.,Who the person is; What makes them creative; How they use creativity; Why you think so.
Describe a person,Describe a person you recently met and liked.,Who the person is; Where you met; What you talked about; Why you liked them.
Describe a person,Describe a person you would like to learn from.,Who the person is; What you want to learn; Why you want to learn from them; How they can help you.
Describe a person,Describe a person you know who is very intelligent.,Who the person is; How you know them; Why you think they are intelligent; Examples of their intelligence.
Describe a person,Describe a person who is popular in your community.,Who the person is; Why they are popular; What they do in the community; How you feel about them.
