Tittle ,Question ,Part 
Home / Accomodation ,What kind of housing/accommodation do you live in?,Part 1
Home / Accomodation,Who do you live with?,Part 1
Home / Accomodation,How long have you lived there?,Part 1
Home / Accomodation,What’s the difference between where you are living now and where you have lived in the past?,Part 1
Home / Accomodation,Do you plan to live there for a long time?,Part 1
Home / Accomodation II,Please describe the room you live in.,Part 1
Home / Accomodation II,What part of your home do you like the most?,Part 1
Home / Accomodation II,Which room does your family spend most of the time in?,Part 1
Home / Accomodation II,Do you prefer living in a house or a flat?,Part 1
Home / Accomodation II,Are the transport facilities to your home very good?,Part 1
Study II,What is your major or area of specialization?,Part 1
Study II,Why did you choose to study that major?,Part 1
Study II,Do you like your major? (Why?/Why not?),Part 1
Study III,What kind of school did you go to as a child?,Part 1
Study III,What was your favourite subject as a child?,Part 1
Study III,Do you think your country has an effective education system?,Part 1
Work II,What do you do?,Part 1
Work II,What are your responsibilities?,Part 1
Work II,"Why did you choose to do that type of work (or, that job)?",Part 1
Work II,Is there some other kind of work you would rather do?,Part 1
Work III,Describe the company or organization you work for.,Part 1
Work III,Do you enjoy your work?,Part 1
Work III,What do you like about your job?,Part 1
Work III,What do you dislike about your job?,Part 1
Number & Maths,Are you good at remembering numbers?,Part 1
Number & Maths,Do you often use numbers?,Part 1
Number & Maths,Is there any special number you like?,Part 1
Free time & Weekend,What do you usually do on weekends?,Part 1
Free time & Weekend,Would you say weekends are important to us?,Part 1
Free time & Weekend,Do you often go to the cinema on weekends?,Part 1
Spending time,Do you like to spend time by yourself or with your friends? Why?,Part 1
Spending time,When was the last time you spent time by yourself?,Part 1
Spending time,Do you want to spend more time by yourself?,Part 1
Art,Do you like art?,Part 1
Art,Have you ever visited an art gallery?,Part 1
Art,Is there any art work on the wall in your room?,Part 1
Pen & Pencil ,(When was the last time you bought a pen or pencil?),Part 1
Pen & Pencil ,(Do you usually use a pen or pencil?),Part 1
Pen & Pencil ,(What do you think if someone gives you a pen or a pencil as a gift?),Part 1
Wild Animal,Do you like to watch TV programs about wild animals?,Part 1
Wild Animal,Where can you see wild animals?,Part 1
Wild Animal,In which country do you think you can see many wild animals?,Part 1
Pets II,What is your favorite animal?,Part 1
Pets II,Have you ever kept an animal as a pet?,Part 1
Pets II,"Where do you prefer to keep your pet, indoors or outdoors?",Part 1
Time & Planning,Do you make plans every day?,Part 1
Time & Planning,Are you good at managing your time?,Part 1
Time & Planning,What is the latest plan you made?,Part 1
Time & Planning,What is the hardest part about making plan?,Part 1
Time & Planning,How do you organize your time?,Part 1
Time & Planning,Do you think people organize time in the same way?,Part 1
Languages II,Will you learn other languages in the future?,Part 1
Languages II,Do you think it is difficult to learn a new language?,Part 1
Languages II,What language can you speak?,Part 1
Languages II,Why do you learn English?,Part 1
Perfume,Do you use perfume?,Part 1
Perfume,What kind of perfume do you like?,Part 1
Perfume,What does perfume mean to you?,Part 1
Perfume,Do you give perfume as a gift?,Part 1
Weather,What kind of weather is typical in your hometown?,Part 1
Weather,What’s your favorite season?,Part 1
Weather,What kind of weather do you like most? Do you prefer dry or wet weather?,Part 1
Routines II ,What is the busiest part of the day for you?,Part 1
Routines II ,What part of your day do you like best?,Part 1
Routines II ,Do you usually have the same routine everyday?,Part 1
Routines II ,What is your daily routine?,Part 1
Routines II ,Do you ever change your routine?,Part 1
Routines III,Do you think it is important to have a daily routine?,Part 1
Routines III,What would you like to change in your day to day routine?,Part 1
Routines III,Are all your days the same?,Part 1
Routines III,What time do you get up?,Part 1
Meeting new people ,How often do you meet new people? (Why/Why not?),Part 1
Meeting new people ,Do you find it easy to talk to new people? (Why/Why not?),Part 1
Meeting new people ,"When you meet someone for the first time, do you know if you like them? (Why/Why not?)",Part 1
Flowers,Do Vietnamese people like to send flowers to others as gifts?,Part 1
Flowers,Have you ever sent flowers to people?,Part 1
Flowers,What kinds of flowers are popular in VietNam?,Part 1
Flowers,Are fake flowers popular in VietNam?,Part 1
Evenings,Do you prefer studying in the morning or in the afternoon?,Part 1
Evenings,What do you usually do in the evening?,Part 1
Evenings,What did you do in the evening when you were little? Why?,Part 1
Evenings,Are there any differences between what you do in the evening now and what you did in the past?,Part 1
Watches,How often do you wear a watch?,Part 1
Watches,What was your first watch like?,Part 1
Watches,What kind of watches do you like to wear?,Part 1
Watches,Do people still wear watches in your country?,Part 1
Watches,Did you receive any watch as a gift when you were a child?,Part 1
Outdoor Activities,Do you like outdoor activities?,Part 1
Outdoor Activities,What outdoor activities do you (most) like to do?,Part 1
Outdoor Activities,What outdoor sports do you like? (Why?),Part 1
Outdoor Activities,How much time do you spend outdoors every week?,Part 1
Outdoor Activities,Do Vietnamese people go out a lot?,Part 1
Outdoor Activities,What (types of) outdoor activities are popular in your country?,Part 1
Outdoor Activities,How and where do people in your country usually socialize?,Part 1
Neighbors,Do you know your neighbors?,Part 1
Neighbors,What do you think of your neighbors?,Part 1
Neighbors,How do you get along well with your neighbors?,Part 1
Writing,Do you often write things?,Part 1
Writing,Do you prefer to write by hand or write using computer?,Part 1
Writing,Do you think computers might one day replace handwriting?,Part 1
Writing,When do children begin to write in your country?,Part 1
Jewellery,Do you often wear jewellery?,Part 1
Jewellery,What type of jewellery do you like?,Part 1
Jewellery,Have you ever given jewellery to someone as a gift?,Part 1
Jewellery,Why do you think some people wear a piece of jewellery for a long time?,Part 1
Birthdays,How do children celebrate birthdays in your country?,Part 1
Birthdays,How did you celebrate your last birthday?,Part 1
Birthdays,What kinds of birthday gifts do you like to receive?,Part 1
Birthdays,"Is there a difference between the way you celebrate your birthday in the past and in the
present?",Part 1
Happy,Is there anything that has made you feel happy lately?,Part 1
Happy,What made you happy when you were little?,Part 1
Happy,What hobbies or activities make you feel happy now?,Part 1
Staying up late,Do you often stay up late at night? (Why/Why not?),Part 1
Staying up late,Did you stay up late more often when you were younger? (Why/Why not?),Part 1
Staying up late,What do you generally do when you stay up late? (Why/Why not?),Part 1
Internet I,Do you use the Internet?,Part 1
Internet I,How often do you use the Internet?,Part 1
Internet I,"How (or, where) do you go onto the Internet?",Part 1
Internet I,Have you ever bought anything on the Internet?,Part 1
Internet II,"Is the Internet very important (or, useful) to you?",Part 1
Internet II,When was the first time you used the Internet?,Part 1
Internet II,How did you learn to use the Internet?,Part 1
Internet II,Do you think the Internet is a good thing?,Part 1
School ,Where do you go to school?,Part 1
School ,Do you think your school is good for every student?,Part 1
School ,What changes do you want to make in your school?,Part 1
Music I,Do you like listening to music?,Part 1
Music I,When do you listen to music?,Part 1
Music I,Did you learn instruments?,Part 1
Music I,Did you have any music classes in school?,Part 1
Music I,Do you think it is necessary for children to have music classes?,Part 1
Music II,What do you think of Vietnamese traditional music?,Part 1
Music II,How much time do you spend listening to music every day?,Part 1
Music II,What is your favorite kind of music?,Part 1
Music II,When did you start listening to this type of music?,Part 1
Music II,How do you feel when you listening to music?,Part 1
Shopping,Do you like going shopping?,Part 1
Shopping,Do you shop online?,Part 1
Shopping,Does shopping take you a lot of time?,Part 1
Shopping,What is the best part about shopping?,Part 1
Law,Do you think law and order are important?,Part 1
Law,Which department is most responsible for enforcing the law?,Part 1
Law,Is there any law you think is too strict? (Why?/Why not?),Part 1
Relax,What would you do to relax?,Part 1
Relax,Do you think doing sports is a good way to relax?,Part 1
Relax,Do you think a vacation is a good time for you to relax?,Part 1
Relax,Do you think students need more time for relaxing?,Part 1
Sports II,What sports do you like? (why ?),Part 1
Sports II,What sports are most popular in Vietnam?,Part 1
Sports II,Are boys and girls good at the same sports?,Part 1
Sports II,What sports do children prefer?,Part 1
Exercise,Do you like to do daily exercise? (why ?/why not?),Part 1
Exercise,What are the advantages of doing regular exercise?,Part 1
Exercise,Where do people in Vietnam usually exercise?,Part 1
Cinema,What type of movies do you like?,Part 1
Cinema,Do you often go to the cinema?,Part 1
